FID,KODE_UNSUR,PELAKSANA,TOPONIM,UPDATED,F_AREA,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,TOT_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,CLUSTAREA,CLUSTRATIO,CLUSTPOP,Sum_CLUSTA,Longitude,Latitude,X,Y
60,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,64747.15405,MALUKU UTARA,SANANA UTARA,MALBUFA,82,3,23,3,8203023003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,457,450,213,0,26,0,893,0.016216,185,3,0.064747,1,893,0.064747,125.876059,-2.023149,819970,9776097
61,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,34829.19805,MALUKU UTARA,SANANA UTARA,MAN GEGA,82,3,23,5,8203023005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,456,465,381,381,0,1,894,0.696429,168,117,0.034829,1,894,0.034829,125.990729,-2.03425,832737,9774845
62,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,3601.00905,MALUKU UTARA,SANANA UTARA,WAININ,82,3,23,6,8203023006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,183,159,87,0,10,0,344,0.026316,76,2,0.003601,0.112268,39,0.032075,125.901588,-1.986228,822820,9780178
63,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,912.55505,MALUKU UTARA,SANANA UTARA,WAININ,82,3,23,6,8203023006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,183,159,87,0,10,0,344,0.026316,76,2,0.000913,0.028451,10,0.032075,125.903961,-1.986079,823084,9780194
64,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,3294.7087,MALUKU UTARA,SANANA UTARA,WAININ,82,3,23,6,8203023006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,183,159,87,0,10,0,344,0.026316,76,2,0.003295,0.102719,35,0.032075,125.902396,-1.985766,822910,9780229
65,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,20681.71955,MALUKU UTARA,SANANA UTARA,WAININ,82,3,23,6,8203023006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,183,159,87,0,10,0,344,0.026316,76,2,0.020682,0.644792,222,0.032075,125.89963,-1.985669,822602,9780240
66,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,3585.01945,MALUKU UTARA,SANANA UTARA,WAININ,82,3,23,6,8203023006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,183,159,87,0,10,0,344,0.026316,76,2,0.003585,0.11177,38,0.032075,125.913774,-1.983041,824178,9780528
67,50102,"EKSA ANUGRAH MANDIRI, PT.",FOKALIK,20070813,16342.1646,MALUKU UTARA,SANANA UTARA,FOKALIK,82,3,23,7,8203023007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,175,175,78,0,3,0,328,0,61,0,0.016342,1,328,0.016342,125.865446,-2.044921,818784,9773689
68,50102,"EKSA ANUGRAH MANDIRI, PT.",WAITINA,20070813,275587.7125,MALUKU UTARA,MANGOLI TIMUR,WAITINA,82,3,30,6,8203030006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,929,921,408,365,43,0.894608,1850,0.834337,332,277,0.275588,1,1850,0.275588,125.983668,-1.91519,831974,9788024
69,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,17134.67417,MALUKU UTARA,MANGOLI TIMUR,KOW,82,3,30,7,8203030007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,543,278,164,36,0.589928,1076,0.763636,220,168,0.017135,0.06983,75,0.245375,126.046913,-1.888912,839023,9790920
70,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,123037.5414,MALUKU UTARA,MANGOLI TIMUR,KOW,82,3,30,7,8203030007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,543,278,164,36,0.589928,1076,0.763636,220,168,0.123038,0.501426,540,0.245375,126.065826,-1.882403,841130,9791637
71,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,43527.48424,MALUKU UTARA,MANGOLI TIMUR,KOW,82,3,30,7,8203030007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,543,278,164,36,0.589928,1076,0.763636,220,168,0.043527,0.177391,191,0.245375,126.035071,-1.871607,837707,9792838
72,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,61675.66775,MALUKU UTARA,MANGOLI TIMUR,KOW,82,3,30,7,8203030007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,543,278,164,36,0.589928,1076,0.763636,220,168,0.061676,0.251352,270,0.245375,126.043118,-1.862381,838605,9793858
73,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,15491.32165,MALUKU UTARA,MANGOLI TIMUR,WAI TAMELA,82,3,30,8,8203030008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,298,280,151,135,16,0.89404,573,0.653543,127,83,0.015491,0.128854,74,0.120224,126.118316,-1.8848,846976,9791361
74,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,104732.2507,MALUKU UTARA,MANGOLI TIMUR,WAI TAMELA,82,3,30,8,8203030008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,298,280,151,135,16,0.89404,573,0.653543,127,83,0.104732,0.871146,499,0.120224,126.110066,-1.881879,846058,9791686
75,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,60050.9552,MALUKU UTARA,MANGOLI TIMUR,NAFLOW,82,3,30,9,8203030009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,197,184,96,82,14,0.854167,381,0.694444,72,50,0.060051,0.457033,174,0.131393,126.022013,-1.897253,836248,9790002
